"Country","People Living with T1D","People who should still be alive today","Healthy years of life lost per person","Healthy years of life lost to treatment","Healthy years of life lost to treatment (Peers)","Healthy years of life lost to complications","Healthy years of life lost to complications (Peers)","Healthy years of life lost to shorter life","Healthy years of life lost to shorter life (Peers)","Healthy years of life lost to cost of care","Healthy years of life lost to cost of care (Peers)","Healthy years of life lost to mental health","Healthy years of life lost to mental health (Peers)","Healthy years of life lost to quality of life","Healthy years of life lost to quality of life (Peers)","Healthy years stolen","Healthy years stolen (Peers)","Healthy years remaining","Healthy years remaining (Peers)","Percentage of families impacted by T1D in 1990","Percentage of families impacted by T1D in 2022","Percentage of families impacted by T1D in 2040","T1D growth from 2000-2000","T1D growth from 2000-2001","T1D growth from 2000-2002","T1D growth from 2000-2003","T1D growth from 2000-2004","T1D growth from 2000-2005","T1D growth from 2000-2006","T1D growth from 2000-2007","T1D growth from 2000-2008","T1D growth from 2000-2009","T1D growth from 2000-2010","T1D growth from 2000-2011","T1D growth from 2000-2012","T1D growth from 2000-2013","T1D growth from 2000-2014","T1D growth from 2000-2015","T1D growth from 2000-2016","T1D growth from 2000-2017","T1D growth from 2000-2018","T1D growth from 2000-2019","T1D growth from 2000-2020","T1D growth from 2000-2021","T1D growth from 2000-2022","Population growth from 2000-2000","Population growth from 2000-2001","Population growth from 2000-2002","Population growth from 2000-2003","Population growth from 2000-2004","Population growth from 2000-2005","Population growth from 2000-2006","Population growth from 2000-2007","Population growth from 2000-2008","Population growth from 2000-2009","Population growth from 2000-2010","Population growth from 2000-2011","Population growth from 2000-2012","Population growth from 2000-2013","Population growth from 2000-2014","Population growth from 2000-2015","Population growth from 2000-2016","Population growth from 2000-2017","Population growth from 2000-2018","Population growth from 2000-2019","Population growth from 2000-2020","Population growth from 2000-2021","Population growth from 2000-2022","T2D growth from 2000-2000","T2D growth from 2000-2001","T2D growth from 2000-2002","T2D growth from 2000-2003","T2D growth from 2000-2004","T2D growth from 2000-2005","T2D growth from 2000-2006","T2D growth from 2000-2007","T2D growth from 2000-2008","T2D growth from 2000-2009","T2D growth from 2000-2010","T2D growth from 2000-2011","T2D growth from 2000-2012","T2D growth from 2000-2013","T2D growth from 2000-2014","T2D growth from 2000-2015","T2D growth from 2000-2016","T2D growth from 2000-2017","T2D growth from 2000-2018","T2D growth from 2000-2019","T2D growth from 2000-2020","T2D growth from 2000-2021","T2D growth from 2000-2022","HIV growth from 2000-2000","HIV growth from 2000-2001","HIV growth from 2000-2002","HIV growth from 2000-2003","HIV growth from 2000-2004","HIV growth from 2000-2005","HIV growth from 2000-2006","HIV growth from 2000-2007","HIV growth from 2000-2008","HIV growth from 2000-2009","HIV growth from 2000-2010","HIV growth from 2000-2011","HIV growth from 2000-2012","HIV growth from 2000-2013","HIV growth from 2000-2014","HIV growth from 2000-2015","HIV growth from 2000-2016","HIV growth from 2000-2017","HIV growth from 2000-2018","HIV growth from 2000-2019","HIV growth from 2000-2020","HIV growth from 2000-2021","HIV growth from 2000-2022","Asthma growth from 2000-2000","Asthma growth from 2000-2001","Asthma growth from 2000-2002","Asthma growth from 2000-2003","Asthma growth from 2000-2004","Asthma growth from 2000-2005","Asthma growth from 2000-2006","Asthma growth from 2000-2007","Asthma growth from 2000-2008","Asthma growth from 2000-2009","Asthma growth from 2000-2010","Asthma growth from 2000-2011","Asthma growth from 2000-2012","Asthma growth from 2000-2013","Asthma growth from 2000-2014","Asthma growth from 2000-2015","Asthma growth from 2000-2016","Asthma growth from 2000-2017","Asthma growth from 2000-2018","Asthma growth from 2000-2019","Asthma growth from 2000-2020","Asthma growth from 2000-2021","Asthma growth from 2000-2022","Tuberculosis growth from 2000-2000","Tuberculosis growth from 2000-2001","Tuberculosis growth from 2000-2002","Tuberculosis growth from 2000-2003","Tuberculosis growth from 2000-2004","Tuberculosis growth from 2000-2005","Tuberculosis growth from 2000-2006","Tuberculosis growth from 2000-2007","Tuberculosis growth from 2000-2008","Tuberculosis growth from 2000-2009","Tuberculosis growth from 2000-2010","Tuberculosis growth from 2000-2011","Tuberculosis growth from 2000-2012","Tuberculosis growth from 2000-2013","Tuberculosis growth from 2000-2014","Tuberculosis growth from 2000-2015","Tuberculosis growth from 2000-2016","Tuberculosis growth from 2000-2017","Tuberculosis growth from 2000-2018","Tuberculosis growth from 2000-2019","Tuberculosis growth from 2000-2020","Tuberculosis growth from 2000-2021","Tuberculosis growth from 2000-2022","Life expectancy from age 10","Healthy years lost when developing T1D","Healthy years restored with onset diagnosis","Perctange of children with T1D undiagnosed","Uncelebrated birthdays this year","Educational poster cost in dollars","Healthy years restored with insulin and strips","Lives lost without insulin and strips","Uncelebrated birthdays this year2","Healthy hours restored with each test strip","Healthy years restored with device uptake","Days per year managing T1D without devices","Days per year restored through devices","T1D_growth_rate","Population_growth_rate","HIV_growth_rate","T2D_growth_rate","Asthma_growth_rate","Tuberculosis_growth_rate","t1d_index_dashboar_url","t1d_index_version"
"Algeria",163767.38,43588.92,36.74999999999999,2.14,0.708,8.18,1.4100000000000001,26.43,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",36.74999999999999,43.67199999999999,42.97,30.208000000000002,"2.4%","6.07%","17.27%","100%","109.18%","119.04%","129.56%","140.74%","152.54%","164.74%","177.72%","191.4%","205.97%","222.04%","238.82%","257.78%","278.62%","301.57%","326.69%","353.11%","380.67%","410.11%","441.98%","476.75%","513.8%","554.21%","100%","101.32%","102.62%","103.94%","105.31%","106.79%","108.37%","110.07%","111.88%","113.82%","115.9%","118.1%","120.43%","122.86%","125.39%","127.98%","130.63%","133.33%","136.03%","138.69%","141.26%","143.73%","146.09%","100%","105.62%","111.89%","118.75%","126.14%","133.92%","142.42%","151.91%","162.19%","173%","183.96%","195.21%","207.09%","219.56%","232.52%","245.81%","259.5%","273.77%","288.96%","305.17%","305.17%","305.17%","305.17%","100%","113.85%","128.73%","144.71%","162.27%","180.64%","199.5%","219.66%","241.04%","262.4%","284.36%","307.07%","330.7%","353.98%","375.54%","395.32%","411.52%","426.01%","441.73%","458.39%","458.39%","458.39%","458.39%","100%","101.41%","103.24%","105.22%","107.03%","108.41%","109.18%","109.6%","109.98%","110.67%","112.06%","114.07%","116.4%","119.07%","122.1%","125.49%","132.68%","140.15%","144%","147.09%","147.09%","147.09%","147.09%","100%","99.73%","99.29%","98.79%","98.31%","97.96%","97.78%","97.68%","97.59%","97.42%","97.09%","96.59%","95.96%","95.21%","94.37%","93.47%","92.55%","91.51%","90.17%","88.57%","88.57%","88.57%","88.57%",79.72,36.74999999999999,5.2,"7.2%",18189.74,1,11.2,13243.74,18189.74,3.2336770219840876,5.6,18,41.072044186258765,8.09,1.74,7.17,5.2,1.77,-0.55,"https://t1dindex.shinyapps.io/dashboard/?loc_id=12","1.0.4.15"
"Angola",12237.23,18897.14,45.39,0.7,0.708,1.35,1.4100000000000001,43.34,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",45.39,43.67199999999999,22.63,30.208000000000002,"2.49%","3.7%","5.36%","100%","110.27%","121.92%","135.8%","153.33%","174.66%","198.93%","225.71%","255.55%","288.05%","322.94%","360.3%","400.38%","442.95%","488.55%","535.83%","586.27%","639.86%","694.95%","753.36%","816.1%","883.41%","953.41%","100%","103.36%","106.86%","110.53%","114.41%","118.53%","122.9%","127.51%","132.33%","137.32%","142.46%","147.73%","153.14%","158.68%","164.32%","170.07%","175.92%","181.86%","187.92%","194.11%","200.46%","206.97%","213.64%","100%","104.29%","109.05%","114.28%","119.88%","126.04%","133.28%","141.94%","151.57%","161.63%","171.7%","181.87%","192.63%","203.73%","214.94%","226.08%","237.07%","248.11%","259.57%","271.56%","271.56%","271.56%","271.56%","100%","113.61%","127.18%","140.5%","153.41%","165.99%","178.25%","191.24%","204.9%","219.93%","236.77%","255.84%","276.45%","298.07%","321.44%","345.22%","369.18%","393.13%","417.44%","444.09%","444.09%","444.09%","444.09%","100%","102.43%","104.61%","106.65%","108.68%","110.84%","113.04%","115.1%","117.13%","119.23%","121.55%","123.82%","125.81%","127.81%","130.13%","133.16%","137.53%","142.71%","147.89%","153.31%","153.31%","153.31%","153.31%","100%","103.43%","106.89%","110.4%","113.96%","117.59%","121.17%","124.59%","127.89%","131.13%","134.35%","137.32%","139.87%","142.22%","144.63%","147.4%","150.47%","153.47%","155.45%","156.22%","156.22%","156.22%","156.22%",68.02000000000001,45.39,3.4,"18.5%",3475.48,1,20.4,10367.81,3475.48,3.2336770219840876,7.2,18,41.072044186258765,10.79,3.51,7.01,4.65,1.96,2.05,"https://t1dindex.shinyapps.io/dashboard/?loc_id=24","1.0.4.15"
"Antigua and Barbuda",126.22,38.19,35.38000000000001,2.17,2.55,9.95,6.65,23.260000000000005,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",35.38000000000001,18.136000000000003,43.07,64.628,"0.55%","1.32%","2.29%","100%","105.45%","111.04%","116.84%","122.89%","129.42%","136.51%","144.35%","152.75%","161.49%","170.51%","179.32%","188.61%","198.18%","207.84%","217.71%","227.61%","237.57%","247.92%","258.32%","268.74%","279.25%","290.36%","100%","101.59%","103.01%","104.35%","105.71%","107.18%","108.82%","110.55%","112.35%","114.12%","115.82%","117.42%","118.94%","120.39%","121.78%","123.1%","124.35%","125.54%","126.67%","127.77%","128.84%","129.89%","130.91%","100%","104.68%","109.65%","114.73%","119.7%","124.34%","128.66%","132.68%","136.52%","140.62%","145.15%","150.68%","157.41%","164.74%","171.91%","178.09%","183.16%","188.4%","195.83%","205.69%","205.69%","205.69%","205.69%","100%","101.37%","101.41%","100.34%","98.68%","96.91%","95.53%","94.9%","95.74%","98.55%","102.59%","107.61%","113.58%","120.96%","129.36%","137.99%","146.6%","155.35%","164.36%","173.55%","173.55%","173.55%","173.55%","100%","101.83%","103.28%","104.35%","105.08%","105.48%","105.61%","105.5%","105.18%","104.72%","104.16%","103.48%","102.69%","101.89%","101.15%","100.56%","103.77%","107.13%","106.89%","106.12%","106.12%","106.12%","106.12%","100%","100.91%","101.39%","101.5%","101.32%","100.93%","100.28%","99.3%","98.14%","96.99%","96%","95.2%","94.52%","93.87%","93.13%","92.22%","91%","89.59%","88.06%","86.33%","86.33%","86.33%","86.33%",78.45,35.38000000000001,0,"0%",0,1,16.3,21.3,0,1.1117573827244247,5.2,18,39.719947229636006,4.96,1.23,2.54,3.33,0.27,-0.67,"https://t1dindex.shinyapps.io/dashboard/?loc_id=28","1.0.4.15"
"Argentina",85528.9,19007.39,26.240000000000002,2.57,1.47,6.96,4.93,16.71,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",26.240000000000002,29.21,52.21,47.93,"1.36%","2.15%","3.56%","100%","105.17%","110.45%","115.95%","121.62%","127.53%","133.46%","139.71%","146.34%","153.09%","160.13%","167.36%","174.92%","182.93%","191.48%","200.55%","209.78%","219.32%","229.21%","239.62%","250.37%","261.27%","272.46%","100%","101.1%","102.2%","103.3%","104.4%","105.48%","106.56%","107.63%","108.7%","109.79%","110.91%","112.07%","113.24%","114.44%","115.64%","116.82%","118%","119.16%","120.31%","121.45%","122.57%","123.68%","124.78%","100%","102.33%","104.6%","106.92%","109.45%","112.34%","115.86%","120.07%","124.77%","129.73%","134.54%","139.16%","143.93%","149.07%","154.72%","160.97%","169.83%","179.92%","189.37%","199.37%","199.37%","199.37%","199.37%","100%","106.1%","112.64%","119.65%","126.84%","134.21%","142.04%","150.31%","158.65%","166.99%","175.61%","184.08%","192.8%","201.41%","209.97%","218.89%","228.35%","238.26%","248.35%","258.4%","258.4%","258.4%","258.4%","100%","100.9%","101.54%","102.05%","102.57%","103.23%","104.17%","105.32%","106.5%","107.56%","108.17%","108.45%","108.73%","109.01%","109.33%","109.77%","109.43%","109.38%","110.64%","112.31%","112.31%","112.31%","112.31%","100%","99.69%","99.49%","99.39%","99.4%","99.48%","99.63%","99.83%","100.07%","100.28%","100.37%","100.29%","100.07%","99.72%","99.3%","98.81%","98.15%","97.42%","96.74%","96.05%","96.05%","96.05%","96.05%",78.45,26.240000000000002,0,"0%",0,1,4.8,6763.75,0,1.3067665587021007,6.5,18,41.03166983020928,4.66,1.01,4.41,3.19,0.53,-0.18,"https://t1dindex.shinyapps.io/dashboard/?loc_id=32","1.0.4.15"
"Armenia",3649.46,1307.05,31.410000000000004,2.2,1.47,6.82,4.93,22.390000000000008,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",31.410000000000004,29.21,45.519999999999996,47.93,"0.65%","1.11%","3.25%","100%","103.88%","108.09%","112.55%","117.21%","122.13%","126.86%","132.48%","138.26%","143.48%","149.11%","155.62%","164.36%","174.59%","184.61%","195.32%","206.56%","218.43%","231.19%","244.82%","259.29%","274.72%","291.23%","100%","99.38%","98.84%","98.32%","97.75%","97.12%","96.37%","95.53%","94.72%","94.08%","93.73%","93.7%","93.95%","94.39%","94.87%","95.3%","95.64%","95.93%","96.16%","96.35%","96.53%","96.69%","96.82%","100%","104.29%","108.39%","111.92%","115.18%","118.29%","121.25%","124.1%","126.61%","129.09%","131.53%","134.12%","136.83%","139.47%","142.02%","144.23%","146.76%","149.15%","151.04%","152.88%","152.88%","152.88%","152.88%","100%","125.87%","161.86%","204.2%","248.58%","291.62%","325.33%","357.49%","393.14%","437.99%","497.58%","614.33%","765.19%","956.15%","1159.91%","1342.67%","1497.6%","1638.1%","1781.62%","1923.69%","1923.69%","1923.69%","1923.69%","100%","99.03%","97.78%","96.37%","94.96%","93.71%","92.72%","92.03%","91.56%","91.22%","90.8%","90.27%","89.74%","89.39%","89.33%","89.64%","93.64%","98.05%","99.27%","99.93%","99.93%","99.93%","99.93%","100%","97.86%","95.57%","93.22%","90.91%","88.65%","86.46%","84.3%","82.22%","80.23%","78.29%","76.38%","74.44%","72.57%","70.72%","68.88%","67%","65.11%","63.3%","61.47%","61.47%","61.47%","61.47%",76.93,31.410000000000004,4.2,"4.3%",318.56,1,7.8,419.79,318.56,1.3067665587021007,5.9,18,41.03166983020928,4.98,-0.15,14.39,1.95,-0,-2.19,"https://t1dindex.shinyapps.io/dashboard/?loc_id=51","1.0.4.15"
"Aruba",5.36,1.9,33.35999999999999,2.34,2.55,10.73,6.65,20.29,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",33.35999999999999,18.136000000000003,45.05,64.628,"0.02%","0.05%","0.11%","100%","104.5%","107.66%","118.02%","123.42%","128.38%","133.33%","138.74%","143.69%","148.2%","154.95%","159.46%","165.77%","173.42%","181.98%","189.19%","195.95%","202.7%","210.81%","218.02%","226.13%","234.23%","241.44%","100%","102.23%","104.54%","106.77%","108.67%","110.08%","110.97%","111.4%","111.55%","111.65%","111.88%","112.31%","112.87%","113.53%","114.21%","114.83%","115.4%","115.95%","116.48%","116.99%","117.5%","117.97%","118.43%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.41,33.35999999999999,0,"0%",0,1,14.8,0.93,0,1.1117573827244247,5,18,39.719947229636006,4.09,0.77,NA,NA,NA,NA,"https://t1dindex.shinyapps.io/dashboard/?loc_id=533","1.0.4.15"
"Australia",126008.21,12134.82,18.700000000000003,3.3,2.55,7.82,6.65,7.579999999999998,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",18.700000000000003,18.136000000000003,65.82,64.628,"1.77%","3.37%","3.82%","100%","105.09%","110.56%","116.63%","123.01%","129.33%","135.78%","142.69%","150.08%","157.31%","164.49%","171.44%","178.46%","185.85%","193.55%","201.36%","208.68%","215.58%","222.73%","230.22%","237.91%","245.48%","253.26%","100%","101.07%","102.16%","103.33%","104.68%","106.25%","108.08%","110.13%","112.32%","114.53%","116.65%","118.67%","120.59%","122.44%","124.24%","126.01%","127.75%","129.44%","131.09%","132.7%","134.26%","135.77%","137.25%","100%","104.57%","109.84%","115.25%","120.32%","124.41%","127.63%","130.43%","133.08%","136.19%","140.17%","145.94%","153.47%","161.72%","169.88%","176.87%","183.48%","189.52%","190.76%","186.7%","186.7%","186.7%","186.7%","100%","103.33%","106.35%","109.36%","112.66%","116.27%","119.58%","122.25%","124.8%","127.72%","131.02%","134.35%","137.7%","141.39%","145.33%","149.51%","153.86%","158.3%","162.97%","167.72%","167.72%","167.72%","167.72%","100%","100.19%","99.69%","98.84%","97.92%","97.24%","94.83%","89.7%","83.73%","78.87%","77.12%","77.68%","78.32%","79.13%","80.11%","81.34%","84.38%","87.49%","88.82%","89.8%","89.8%","89.8%","89.8%","100%","99.55%","99.19%","98.9%","98.7%","98.59%","98.56%","98.58%","98.65%","98.76%","98.92%","99.08%","99.24%","99.44%","99.64%","99.9%","100.17%","100.4%","100.53%","100.49%","100.49%","100.49%","100.49%",84.52,18.700000000000003,0,"0%",0,1,0,1123.1,0,1.1117573827244247,5,18,39.719947229636006,4.31,1.45,2.38,2.88,-0.49,0.02,"https://t1dindex.shinyapps.io/dashboard/?loc_id=36","1.0.4.15"
"Austria",32474.79,4289.33,19.92,3.13,2.55,7.68,6.65,9.11,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",19.92,18.136000000000003,62.8,64.628,"1.03%","2.23%","3.13%","100%","103.5%","107.1%","111.67%","116.67%","121.96%","127.43%","133.09%","138.83%","144.19%","149.79%","155.85%","162.79%","169.83%","176.48%","183.07%","189.53%","196.31%","203.16%","209.94%","216.58%","222.61%","228.54%","100%","100.35%","100.81%","101.32%","101.83%","102.28%","102.67%","103.03%","103.37%","103.75%","104.22%","104.75%","105.36%","106.02%","106.76%","107.54%","108.39%","109.29%","110.18%","110.97%","111.6%","112.06%","112.35%","100%","103.63%","107.93%","112.32%","116.82%","121.07%","125.42%","130.99%","136.74%","142.18%","146.58%","150.17%","154.34%","158.52%","162.52%","165.96%","168.55%","171.37%","176.67%","184.66%","184.66%","184.66%","184.66%","100%","108.3%","117.65%","127.29%","136.82%","145.4%","153.41%","160.99%","168.22%","175.71%","183.66%","192.46%","202.22%","212.24%","221.66%","230.54%","239.45%","248.13%","256.93%","265.47%","265.47%","265.47%","265.47%","100%","98.42%","97.14%","96.08%","95.31%","94.76%","94.45%","94.43%","94.41%","94.18%","93.58%","92.4%","90.84%","89.23%","87.91%","87.24%","87.08%","87.29%","87.98%","88.81%","88.81%","88.81%","88.81%","100%","98.55%","97.31%","96.21%","95.21%","94.24%","93.32%","92.4%","91.46%","90.37%","89.16%","87.89%","86.58%","85.36%","84.3%","83.48%","82.82%","82.14%","81.55%","80.99%","80.99%","80.99%","80.99%",82.72,19.92,0,"0%",0,1,0,477.38,0,1.1117573827244247,6.2,18,39.719947229636006,3.83,0.53,4.54,2.83,-0.54,-0.95,"https://t1dindex.shinyapps.io/dashboard/?loc_id=40","1.0.4.15"
"Azerbaijan",9183.08,3132.53,33.46999999999999,2.02,1.47,7.03,4.93,24.419999999999995,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",33.46999999999999,29.21,42.05,47.93,"0.48%","0.86%","2.23%","100%","105.87%","112.26%","119.34%","126.96%","135.43%","144.35%","154.32%","164.95%","176.46%","188.74%","201.26%","215.05%","229.85%","245.73%","262.8%","280.71%","300.49%","321.72%","344.32%","368.41%","394.71%","421.94%","100%","100.92%","101.9%","102.94%","104.02%","105.12%","106.25%","107.41%","108.61%","109.87%","111.2%","112.6%","114.06%","115.55%","117.02%","118.47%","119.86%","121.21%","122.49%","123.7%","124.83%","125.86%","126.81%","100%","105.09%","110.47%","116.19%","122.2%","128.39%","135.14%","142.21%","149.5%","157.16%","164.83%","172.99%","181.13%","189.47%","198.32%","207.49%","218.77%","229.27%","237.17%","243.99%","243.99%","243.99%","243.99%","100%","102.67%","103.65%","103.87%","104.04%","105.05%","106.79%","108.42%","111.8%","119.76%","134.55%","154.39%","179.6%","207.2%","236.32%","266.27%","296.09%","326.29%","356.85%","387.53%","387.53%","387.53%","387.53%","100%","99.53%","98.1%","96.34%","94.83%","94.3%","94.7%","95.42%","96.36%","97.43%","98.51%","99.68%","100.97%","102.44%","104.11%","106.06%","111.28%","116.77%","119.31%","121.37%","121.37%","121.37%","121.37%","100%","100.52%","101.1%","101.65%","102.11%","102.37%","101.98%","100.81%","99.19%","97.58%","96.34%","95.47%","94.61%","93.74%","92.87%","91.92%","90.84%","89.71%","88.58%","87.41%","87.41%","87.41%","87.41%",75.52,33.46999999999999,3.5,"4.6%",814.18,1,10.7,1183.64,814.18,1.3067665587021007,5.9,18,41.03166983020928,6.76,1.09,6.35,4.14,0.88,-0.61,"https://t1dindex.shinyapps.io/dashboard/?loc_id=31","1.0.4.15"
"Bahamas",879.58,248.99,29.80000000000001,2.14,2.55,6.12,6.65,21.540000000000006,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",29.80000000000001,18.136000000000003,45.46,64.628,"1.21%","1.97%","3.22%","100%","105.5%","111.37%","117.7%","124.47%","131.51%","139.59%","148.01%","156.82%","166.12%","175.88%","185.8%","195.88%","206.3%","217%","227.95%","239.38%","251.09%","262.48%","274.17%","286.56%","298.68%","311.12%","100%","101.53%","103.22%","105.06%","106.99%","108.99%","111.07%","113.2%","115.31%","117.3%","119.09%","120.65%","121.99%","123.19%","124.35%","125.55%","126.8%","128.09%","129.39%","130.68%","131.94%","133.17%","134.38%","100%","104.51%","109.42%","114.59%","119.94%","125.14%","129.98%","134.79%","139.68%","144.84%","150.34%","156.75%","164.38%","172.71%","181.21%","189.07%","196.19%","203.52%","212.03%","221.9%","221.9%","221.9%","221.9%","100%","99.5%","98.28%","96.78%","96.15%","97.02%","98.63%","100.68%","103.31%","106.14%","109.52%","113.74%","118.23%","122.74%","127.44%","132.65%","138.27%","143.9%","149.79%","156.11%","156.11%","156.11%","156.11%","100%","101.03%","101.78%","102.47%","103.24%","104.06%","104.74%","105.16%","105.39%","105.58%","105.75%","105.71%","105.32%","104.74%","104.16%","103.75%","106.5%","109.23%","108.85%","107.97%","107.97%","107.97%","107.97%","100%","100.18%","100.45%","100.8%","101.16%","101.52%","101.87%","102.23%","102.56%","102.8%","102.95%","103.08%","103.19%","103.24%","103.16%","102.91%","102.44%","101.77%","100.84%","99.53%","99.53%","99.53%","99.53%",75.26,29.80000000000001,0,"0%",0,1,8.7,99.19,0,1.1117573827244247,6.6,18,39.719947229636006,5.29,1.35,2.05,3.69,0.35,-0.02,"https://t1dindex.shinyapps.io/dashboard/?loc_id=44","1.0.4.15"
"Bahrain",2281.38,110.45,19.889999999999993,2.9,2.55,7.04,6.65,9.949999999999996,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",19.889999999999993,18.136000000000003,58.82,64.628,"0.64%","1.52%","6.68%","100%","110.8%","123.34%","138.06%","155.3%","175.73%","201.38%","230.78%","263.12%","295.91%","327.59%","354.63%","379.18%","403.47%","431.71%","467.13%","513.98%","570.89%","635.81%","704.5%","773.17%","840.95%","906.64%","100%","104.96%","110.61%","117.17%","124.86%","133.79%","144.21%","155.87%","167.71%","178.31%","186.71%","192.32%","195.59%","197.86%","201.03%","206.41%","214.53%","224.8%","236.14%","246.94%","256.03%","263.06%","268.43%","100%","107.77%","117.81%","129.8%","143.79%","159.78%","176.95%","196.29%","218.38%","243.2%","270.12%","296.89%","324.34%","353.47%","384.37%","416.62%","449.14%","481.44%","518.45%","561.93%","561.93%","561.93%","561.93%","100%","99.53%","101.07%","107.38%","115.36%","122.74%","130.04%","137.86%","147.07%","155.89%","164.16%","170.08%","174.67%","179.61%","184.38%","188.42%","191.92%","195.67%","200.11%","206.22%","206.22%","206.22%","206.22%","100%","102.79%","106.96%","112.93%","120.21%","127.6%","134.51%","141.34%","148.9%","156.39%","162.29%","164.83%","165.81%","166.57%","167.45%","168.63%","173.86%","179.92%","182.48%","184.58%","184.58%","184.58%","184.58%","100%","101.53%","104.9%","110.6%","117.73%","124.53%","130.33%","135.73%","141.68%","147.58%","152.33%","154.47%","155.83%","157.19%","158.14%","158.06%","157.16%","155.74%","153.62%","150.95%","150.95%","150.95%","150.95%",78.71,19.889999999999993,0,"0%",0,1,1.1,23.34,0,1.1117573827244247,5.9,18,39.719947229636006,10.54,4.59,3.34,8.16,2.83,1.89,"https://t1dindex.shinyapps.io/dashboard/?loc_id=48","1.0.4.15"
"Bangladesh",24877.51,38148.58,47.199999999999996,1.26,0.708,5.99,1.4100000000000001,39.949999999999996,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",47.199999999999996,43.67199999999999,29.04,30.208000000000002,"0.82%","0.3%","0.25%","100%","104.16%","108.54%","113.07%","117.3%","122.02%","126.38%","130.58%","135.22%","139.86%","144.68%","149.76%","154.21%","158.53%","163.92%","171.63%","178.27%","181.54%","185.56%","190%","194.69%","199.22%","203.64%","100%","101.9%","103.78%","105.59%","107.31%","108.91%","110.39%","111.75%","113.04%","114.31%","115.6%","116.93%","118.29%","119.66%","121.04%","122.4%","123.75%","125.09%","126.41%","127.72%","129%","130.27%","131.51%","100%","104.98%","111.18%","118.11%","125.22%","131.79%","137.92%","144.2%","150.75%","157.58%","164.6%","172.43%","181.27%","190.61%","199.8%","208.23%","214.1%","220.25%","231.97%","248.92%","248.92%","248.92%","248.92%","100%","123.08%","151.81%","184.53%","218.67%","251.86%","283.93%","315.77%","347.25%","375.22%","396.67%","414.05%","427.52%","436.7%","442.38%","445.59%","446.56%","443.48%","433.61%","420.69%","420.69%","420.69%","420.69%","100%","100.35%","100.39%","100.23%","100%","99.8%","99.21%","97.99%","96.65%","95.78%","95.96%","96.97%","98.09%","99.36%","100.79%","102.42%","104.27%","106.72%","110.29%","114.93%","114.93%","114.93%","114.93%","100%","97.93%","95.73%","93.42%","91.05%","88.66%","86.18%","83.58%","80.95%","78.42%","76.09%","73.99%","72.02%","70.14%","68.28%","66.38%","64.48%","62.53%","60.45%","58.25%","58.25%","58.25%","58.25%",76.24,47.199999999999996,2.8,"9.1%",4853,1,24,23047.72,4853,3.2336770219840876,5.7,18,41.072044186258765,3.29,1.25,6.75,4.23,0.63,-2.43,"https://t1dindex.shinyapps.io/dashboard/?loc_id=50","1.0.4.15"
