world_bank_name,united_nations_name,sub_saharan_africa,drop_country,world_bank_code,world_bank_classification,jdrf_region_name,jdrf_broad_region_name,jdrf_broad_region_code,legacy_region_code,legacy_region_name,loc_id,broad_region_id,region_id
Rwanda,Rwanda,TRUE,FALSE,RWA,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,646,4,12
Samoa,Samoa,FALSE,FALSE,WSM,UMIC,Oceania,Asia-Pacific,APAC,WP,Western Pacific,882,2,11
Sao Tome and Principe,Sao Tome and Principe,TRUE,FALSE,STP,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,678,4,12
Saudi Arabia,Saudi Arabia,FALSE,FALSE,SAU,HIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,682,4,5
Senegal,Senegal,TRUE,FALSE,SEN,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,686,4,12
Serbia,Serbia,FALSE,FALSE,SRB,UMIC,Western Europe,Europe,EUR,EUR,Europe,688,3,13
Seychelles,Seychelles,TRUE,FALSE,SYC,HIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,690,4,12
Sierra Leone,Sierra Leone,TRUE,FALSE,SLE,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,694,4,12
Singapore,Singapore,FALSE,FALSE,SGP,HIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,702,2,11
Slovakia,Slovakia,FALSE,FALSE,SVK,HIC,Eastern Europe,Europe,EUR,EUR,Europe,703,3,4
Slovenia,Slovenia,FALSE,FALSE,SVN,HIC,Western Europe,Europe,EUR,EUR,Europe,705,3,13
Solomon Islands,Solomon Islands,FALSE,FALSE,SLB,LMIC,Oceania,Asia-Pacific,APAC,WP,Western Pacific,90,2,11
Somalia,Somalia,TRUE,FALSE,SOM,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,706,4,12
South Africa,South Africa,TRUE,FALSE,ZAF,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,710,4,12
South Sudan,South Sudan,TRUE,FALSE,SSD,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,728,4,12
Spain,Spain,FALSE,FALSE,ESP,HIC,Western Europe,Europe,EUR,EUR,Europe,724,3,13
Sri Lanka,Sri Lanka,FALSE,FALSE,LKA,LMIC,South Asia,Asia-Pacific,APAC,SEA,South Asia,144,2,10
St Lucia,Saint Lucia,FALSE,FALSE,LCA,UMIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,662,1,2
St Vincent and the Grenadines,Saint Vincent and the Grenadines,FALSE,FALSE,VCT,UMIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,670,1,2
State of Palestine,State of Palestine,FALSE,TRUE,PSE,LMIC,Middle East,Middle East and Africa,MEA,N/A,N/A,275,4,5
Sudan,Sudan,FALSE,FALSE,SDN,LMIC,North Africa,Middle East and Africa,MEA,EMME,Middle East & North Africa,729,4,7
Suriname,Suriname,FALSE,FALSE,SUR,UMIC,South America,Americas,AMER,NAC,North America & Carribbean,740,1,9
Swaziland,Eswatini,TRUE,FALSE,SWZ,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,748,4,12
Sweden,Sweden,FALSE,FALSE,SWE,HIC,Nordic Countries,Europe,EUR,EUR,Europe,752,3,6
Switzerland,Switzerland,FALSE,FALSE,CHE,HIC,Western Europe,Europe,EUR,EUR,Europe,756,3,13
